#   1 Xpos                ""                                              [""]
#   2 Ypos                ""                                              [""]
#   3 in_area             mask value (addmask)                           
#   4 Flux                ""                                              [""]
#   5 Fluxer              ""                                              [""]
2626.15 123.958 0 0.237054 0.0225250
6943.13 163.526 0 0.180799 0.0175990
733.257 163.750 0 0.159540 0.0210630
570.312 164.908 0 0.137680 0.0225690
8320.70 165.013 0 0.173780 0.0206240
8570.82 158.750 0 0.353475 0.0224850
3503.26 150.163 0 1.93825 0.0222380
5331.83 167.233 0 0.120332 0.0189430
1806.53 167.621 0 0.0689900 0.0192220
7238.71 150.459 0 0.284284 0.0175990
6161.36 168.124 0 0.117725 0.0175990
4533.40 169.357 0 0.0646780 0.0216350
6447.92 148.855 0 0.381453 0.0175990
5411.05 168.845 0 0.0930570 0.0182520
9659.12 169.598 0 0.248686 0.0448710
1982.95 170.218 0 0.0682880 0.0197630
2529.89 164.966 0 0.371024 0.0203680
1271.75 169.519 0 0.170972 0.0205670
8533.14 156.432 0 0.779350 0.0220590
4750.41 170.980 0 0.0655810 0.0202490
4715.87 164.920 0 0.203261 0.0207690
4174.40 171.796 0 0.179495 0.0219790
7012.48 163.922 0 0.214392 0.0175990
9121.79 172.082 0 0.188520 0.0267240
714.312 167.998 0 0.176387 0.0202050
5614.69 172.661 0 0.0626730 0.0186600
6290.82 172.654 0 0.0929560 0.0175990
1780.48 171.149 0 0.353175 0.0197250
8943.94 174.480 0 0.252396 0.0278500
6694.70 157.305 0 1.33107 0.0175990
2553.76 170.254 0 0.360595 0.0215210
8561.37 147.836 0 0.521639 0.0217330
8216.18 175.090 0 0.119229 0.0201670
807.006 168.475 0 0.766515 0.0213990
2612.50 157.494 0 0.840118 0.0216380
4680.48 157.120 0 1.26830 0.0217990
6306.10 171.090 0 0.315571 0.0175990
590.945 174.761 0 0.0537480 0.0222200
3066.59 146.586 0 0.484136 0.0218360
5241.74 176.360 0 0.170270 0.0190950
6673.38 175.972 0 0.0565560 0.0175990
7738.91 176.047 0 0.169468 0.0198120
8414.04 175.701 0 0.230135 0.0205290
4427.23 177.093 0 0.119129 0.0218250
7988.45 177.007 0 0.0368020 0.0202010
5691.68 178.230 0 0.189322 0.0183530
6111.59 177.734 0 0.0534470 0.0177210
5344.41 178.031 0 0.0556540 0.0190750
2186.28 169.521 0 1.03165 0.0209400
3232.49 178.726 0 0.285688 0.0205280
6598.41 178.573 0 0.0586620 0.0175990
6755.09 179.067 0 0.0421160 0.0176280
6465.12 179.750 0 0.105992 0.0176850
1836.98 179.995 0 0.144900 0.0189050
7416.74 179.548 0 0.176888 0.0200930
7403.63 181.113 0 0.0165460 0.0194860
7005.74 181.264 0 0.0740040 0.0175990
5229.85 173.061 0 0.132365 0.0189230
4682.71 180.640 0 0.0646780 0.0223810
6078.00 182.841 0 0.102583 0.0177290
5282.65 183.197 0 0.0476310 0.0188890
7638.46 143.573 0 1.17765 0.0199990
5557.53 505.188 0 86.0605 0.0184370
4514.77 183.696 0 0.103185 0.0217770
2089.54 184.182 0 0.0851350 0.0205650
6161.73 181.984 0 0.206971 0.0175990
8332.47 246.666 0 19.8923 0.0205170
2522.14 184.224 0 0.268140 0.0202460
1616.52 179.053 0 0.264129 0.0218520
5865.76 149.822 0 2.46199 0.0175990
4413.91 181.832 0 0.319181 0.0219380
9841.18 185.538 0 0.311861 0.0442390
2949.69 186.515 0 0.116120 0.0219270
7676.36 414.096 0 55.9894 0.0200550
8962.84 273.168 0 1.04980 0.0250270
6261.42 164.021 0 0.191228 0.0175990
